Delta_phase_1_2 (cycle),Delta_phase_2_3 (cycle),Delta_phase_3_4 (cycle),model gait
0.420844137036192,0.57524708353707,0.483714443161981,trot
0.398875067162469,0.558740903219459,0.597077406622588,trot
0.497774552602323,0.497861388103433,0.402300673402857,trot
0.633334329294872,0.535855267267735,0.453907315560129,trot
0.316058843956059,0.512207121691176,0.518716944923961,trot
0.345360119352866,0.432349027359846,0.539184804282114,trot
0.519280998415162,0.61432417045271,0.583209270306757,trot
0.601862619063477,0.537167491240318,0.441512031321445,trot
0.689414637378289,0.351382961703615,0.635584265551281,trot
0.567920412432856,0.695272867904429,0.698771566979165,trot
0.485841110102838,0.476963856904135,0.448482280366727,trot
0.842159989981076,0.50648865497657,0.548195731787708,trot
0.419084523912041,0.634537290278353,0.687841611945968,trot
0.390088617170328,0.651537268764542,0.608121240657429,trot
0.623362735969259,0.533772615812923,0.504477760734956,trot
0.435269397900853,0.590267489964836,0.469226025980392,trot
0.611366524125397,0.400626499390978,0.464398736963678,trot
0.652741684155493,0.435419309590531,0.503609526705949,trot
0.635666740645308,0.422569924274542,0.408000439986998,trot
0.658944555930345,0.460245354727366,0.619783584261848,trot
0.341973751838219,0.564687938013143,0.473424584555351,trot
0.365959309632652,0.358994740179849,0.715221606024828,trot
0.415355196811604,0.372238419942842,0.491285419016414,trot
0.496469217215191,0.488282257618343,0.718623338980961,trot
0.441214846195384,0.422997130441577,0.509080449570421,trot
0.459973896794138,0.592224571500566,0.562315910552285,trot
0.415819527158739,0.489976392066401,0.110326578165912,trot
0.596044897909721,0.519339180632397,0.57767164287039,trot
0.449573802374395,0.570077387659712,0.571453305949921,trot
0.518358962186332,0.455741741410771,0.697166754049317,trot
0.555181807653902,0.532157919911635,0.580648914157675,trot
0.463386655088458,0.423316397672307,0.500710945983485,trot
0.731364406376056,0.442796557722937,0.476655964577916,trot
0.525799089210498,0.436462236162694,0.484650189733942,trot
0.475182918856179,0.286437511772385,0.565650110504618,trot
0.648204206973898,0.436243851564442,0.537242646306153,trot
0.570664101895825,0.281966084627404,0.533670231159619,trot
0.492928440393892,0.655406022232588,0.39178011090216,trot
0.568863352186202,0.403467370503506,0.584254315283987,trot
0.40678544931842,0.393724051094545,0.352561421753087,trot
0.563653579381495,0.475217686938739,0.891342174104203,trot
0.390341853315518,0.528961701624052,0.297419713940859,trot
