Delta_phase_1_2 (cycle),Delta_phase_2_3 (cycle),Delta_phase_3_4 (cycle),Delta_phase_4_5 (cycle),Delta_phase_5_6 (cycle),Delta_phase_6_7 (cycle),Delta_phase_7_8 (cycle),model gait
0.419746933972154,0.381528758056573,0.40580345784881,0.64885546388623,0.422413117311721,0.604295057471693,0.414714094147007,trot/alternating tetrapod
0.489046187033257,0.491562827329006,0.50944328932436,0.504440908409209,0.59024855568535,0.538921037303669,0.404364445145403,trot/alternating tetrapod
0.576100514293943,0.470846432523805,0.521659438364585,0.606398089061895,0.476076195408834,0.416662028932022,0.617953631702901,trot/alternating tetrapod
0.464785008684101,0.534900445515367,0.527581282115822,0.436904203862437,0.516153933951282,0.58127164497438,0.399314742681786,trot/alternating tetrapod
0.549088795805054,0.568354401868438,0.585344081469776,0.347756332490428,0.434673310121045,0.432265943881659,0.320110801964476,trot/alternating tetrapod
0.501533089672182,0.516923338328476,0.778788214056439,0.428027178457329,0.471732778394938,0.490701627434763,0.599516675760348,trot/alternating tetrapod
0.370893075190792,0.466392908209138,0.422818067530863,0.519379392087266,0.442367849291008,0.546923540457332,0.474831191094983,trot/alternating tetrapod
0.442937216006921,0.529078770032959,0.46973112336129,0.465787106462295,0.453896322991003,0.552142414991737,0.610866285673949,trot/alternating tetrapod
0.477431089902981,0.50718369994717,0.368236031266679,0.449214089213442,0.361190377898984,0.566039644863009,0.597357397447416,trot/alternating tetrapod
0.248081652407571,0.473772395058684,0.333301980523274,0.466381998882294,0.605186005727999,0.314109379340703,0.320605133092579,trot/alternating tetrapod
0.669893291676377,0.506328859133032,0.74958408550709,0.491118205849634,0.26673692137909,0.6713551645445,0.545557767978832,trot/alternating tetrapod
0.406960416226693,0.575032468128276,0.601592893592894,0.490100294976468,0.409495720323421,0.578565501008719,0.420879707259851,trot/alternating tetrapod
0.405362428423871,0.423659718588668,0.508964125204156,0.535758036102223,0.336704451454789,0.51042304958666,0.501027140028351,trot/alternating tetrapod
0.453207350633679,0.419204768025557,0.476363936584098,0.514192864144984,0.483671390996013,0.491052207309039,0.559899861827375,trot/alternating tetrapod
0.369974809013562,0.430051298480561,0.571187332242114,0.56550658462924,0.684180760365079,0.485740485261326,0.631578371411199,trot/alternating tetrapod
0.452149621781436,0.528522622074422,0.637386109513241,0.510265069089161,0.44239545249762,0.470880737664608,0.449686100269673,trot/alternating tetrapod
0.543548482656955,0.379256801811642,0.585102925306025,0.550267676155416,0.426456968325927,0.519224891704214,0.663643349357071,trot/alternating tetrapod
0.46670659471387,0.631799193407049,0.613256733800213,0.633682890746344,0.621070005632097,0.319253454049586,0.370741887033747,trot/alternating tetrapod
0.279529460039346,0.236021147210569,0.449712107621158,0.517776256461808,0.515355070160314,0.539595102218315,0.546337282000205,trot/alternating tetrapod
0.595460814775664,0.458145423439047,0.437929337624135,0.51813008164757,0.564542397792844,0.495503513497285,0.405002691359605,trot/alternating tetrapod
0.360306316731815,0.472897831457206,0.349413298407887,0.534476170141126,0.413147890975601,0.602203405970294,0.477939206909282,trot/alternating tetrapod
0.454222858466662,0.576738134913708,0.665953005790896,0.516863525960454,0.433690934550735,0.386790412891092,0.538445953831715,trot/alternating tetrapod
0.717002286095036,0.486830509238741,0.600940730960402,0.710544818923641,0.42485847078307,0.384768070111396,0.469279636702516,trot/alternating tetrapod
0.323807458833252,0.546774502438713,0.567269753933979,0.655991077061415,0.563849499169723,0.42747793043145,0.475378200052516,trot/alternating tetrapod
0.281938117634061,0.521538586557039,0.380202327588923,0.479330006657549,0.439286784445668,0.524509172368632,0.514292861058139,trot/alternating tetrapod
0.524495679899792,0.50007361535207,0.435472388083579,0.326958154282282,0.474040423484126,0.686296042124061,0.541893907432067,trot/alternating tetrapod
0.592745407226158,0.52856221610376,0.508811428436425,0.522637180321088,0.531074652799959,0.513959492995753,0.536576488117986,trot/alternating tetrapod
0.484409725092354,0.446415642546189,0.570030029791304,0.371140834244184,0.504737437881641,0.351766975078726,0.508306553576273,trot/alternating tetrapod
0.412910902882431,0.372508931485885,0.443175409427933,0.709927562200149,0.564006254654326,0.5126053648015,0.582624423062765,trot/alternating tetrapod
0.395015016407965,0.572623020093958,0.585764176851522,0.604795804430701,0.378869817425907,0.546934689879453,0.569659684289545,trot/alternating tetrapod
0.605207330458986,0.578393601619019,0.399935719386851,0.702389351061454,0.475626474953109,0.585003517524979,0.514689730049156,trot/alternating tetrapod
0.446744435151089,0.657523652689786,0.606803424975064,0.428077494516005,0.390937648122567,0.448576006189479,0.504895136002034,trot/alternating tetrapod
0.638322129111741,0.517097467405212,0.338520971201883,0.474580142224189,0.519595865579467,0.621006181259345,0.55110369063834,trot/alternating tetrapod
0.44758052877711,0.401283616195481,0.437812352031561,0.369361885068434,0.423013090959283,0.438828212963015,0.405468482829271,trot/alternating tetrapod
0.460637640393533,0.434809261388086,0.543880112377631,0.581425364835661,0.456796713656068,0.423960717688259,0.624601757075761,trot/alternating tetrapod
0.465251437273911,0.720616279801413,0.49004322314044,0.669489405541045,0.590484427795005,0.497545655715883,0.496210253004251,trot/alternating tetrapod
0.34514996916074,0.665225058847796,0.484887744763473,0.422258456537923,0.45171246150662,0.429574077371708,0.524294190167176,trot/alternating tetrapod
0.490328120355828,0.547907511072056,0.396449099895354,0.411826130959257,0.823552839957531,0.489553268009631,0.544182283555441,trot/alternating tetrapod
0.513197289438383,0.459788751109011,0.48608748835114,0.328061057312595,0.596605058378476,0.470029753266438,0.4288393537989,trot/alternating tetrapod
0.531074774769311,0.461481304765459,0.54394720974445,0.56274373289159,0.490851232346884,0.412282920991587,0.412814062314199,trot/alternating tetrapod
0.541143447425873,0.430005821113385,0.368662463663419,0.435060363607602,0.378950502924364,0.526481881000686,0.268025990926953,trot/alternating tetrapod
