Delta_phase_1_2 (cycle),Delta_phase_2_3 (cycle),Delta_phase_3_4 (cycle),Delta_phase_4_5 (cycle),Delta_phase_5_6 (cycle),model gait
0.524362719331661,0.553517014071121,0.466870764438984,0.518523061299545,0.487269887783984,trot/alternating tripod
0.38353633578486,0.509246255998189,0.519156644777343,0.489166211444655,0.557319530602895,trot/alternating tripod
0.345019873302204,0.385208565668929,0.544553833763339,0.504899091905795,0.60076170246867,trot/alternating tripod
0.51714088194202,0.596448240669127,0.513426268179297,0.70655492535007,0.496432162306682,trot/alternating tripod
0.421928663487212,0.550049700826832,0.323782846126104,0.430771296510913,0.552092340055168,trot/alternating tripod
0.615112408182582,0.527685287326126,0.358120396387385,0.483483190495357,0.488755395188636,trot/alternating tripod
0.560503141884818,0.338610621171002,0.428915553716084,0.28834699465765,0.543922573610181,trot/alternating tripod
0.505700915162897,0.641845048520226,0.32012731514911,0.373056316722434,0.599310065050833,trot/alternating tripod
0.464538431106047,0.739598880424425,0.644775055138672,0.577735827128884,0.591304243083004,trot/alternating tripod
0.373504877598231,0.482866171920984,0.583390792926333,0.427618217888457,0.40477556127528,trot/alternating tripod
0.4794650437265,0.425505588743779,0.379831985855281,0.468232343153208,0.40560830471292,trot/alternating tripod
0.426630257876926,0.379041750731291,0.567516749944417,0.604896647793387,0.499359742190081,trot/alternating tripod
0.251292786279846,0.398414733924309,0.508897136930613,0.773711425213597,0.608671734558472,trot/alternating tripod
0.437558657356112,0.492494751916125,0.399997363665475,0.731587731728266,0.506772737043095,trot/alternating tripod
0.496894115607174,0.406726223166483,0.40774127734453,0.526259528502738,0.647234868909786,trot/alternating tripod
0.471859155662794,0.493856407342071,0.472739478150087,0.52677477672552,0.523890883590511,trot/alternating tripod
0.563319218353181,0.353339813058363,0.506359069758871,0.547249734723862,0.391134451046599,trot/alternating tripod
0.621122411898542,0.424389284010627,0.493789067086154,0.476006591735351,0.577561471788781,trot/alternating tripod
0.450388555189989,0.417210243085407,0.377275460157817,0.467039890900575,0.549298695537782,trot/alternating tripod
0.541691387626619,0.340866646187214,0.690487480533925,0.434543205191695,0.562639039170394,trot/alternating tripod
0.593002302078328,0.641299138876786,0.459311127291088,0.487639939017284,0.402716314555477,trot/alternating tripod
0.434347003957181,0.518010556654395,0.538944043864298,0.371435707138995,0.569654285956098,trot/alternating tripod
0.545270863122074,0.583150892124464,0.510100694035599,0.541625435450609,0.154190907202143,trot/alternating tripod
0.607175212074799,0.306994673570489,0.293094560566658,0.470929689022336,0.445624163970213,trot/alternating tripod
